;;;;; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir ; Masuk ; Awal ; Pakai ; Akhir 
16;Dexamethasone;Tablet;" Meredakan Peradangan Pada Beberapa Kondisi, Seperti Reaksi Alergi, Penyakit Autoimun, Atau Radang Sendi.";Alat Medis / Lainnya; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 500 ; 500 ; 450 ; 50 ; 200 ; 250 ; 70 ; 180 ; 200 ; 380 ; 165 ; 215 ; -   ; 215 ; 210 ; 5 ; 200 ; 205 ; 115 ; 90 ; 300 ; 390 ; 230 ; 160 ; 100 ; 260 ; 230 ; 30 ; 100 ; 130 ; 120 ; 10 
17;Diatabs;Tablet;"Pengobatan Simtomatik Pada Diare Non-Spesifik, Yaitu Diare Yang Tidak Diketahui Penyebabnya Dengan Jelas";Alat Medis / Lainnya; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 180 ; 20 ; 200 ; 220 ; 132 ; 88 ; -   ; 88 ; 88 ; -   ; 200 ; 200 ; 200 ; -   ; 400 ; 400 ; 150 ; 250 ; -   ; 250 ; -   ; 250 ; 100 ; 350 ; -   ; 350 ; -   ; 350 ; 64 ; 286 ; 100 ; 386 ; 84 ; 302 ; 200 ; 502 ; 112 ; 390 ; 200 ; 590 ; 172 ; 418 ; -   ; 418 ; 88 ; 330 
18;Flucadex;Tablet;"Obat Yang Bermanfaat Untuk Meredakan Flu Dan Batuk, Baik Batuk Berdahak Maupun Batuk Tidak Berdahak";Alat Medis / Lainnya; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 100 ; 100 ; 100 ; -   ; 200 ; 200 ; 200 ; -   ; 100 ; 100 ; 100 ; -   ; 1.000 ; 1.000 ; 1.000 ; -   ; 1.200 ; 1.200 ; 1.130 ; 70 ; 600 ; 670 ; 530 ; 140 ; 500 ; 640 ; 635 ; 5 ; 700 ; 705 ; 702 ; 3 ; 500 ; 503 ; 503 ; -   ; 700 ; 700 ; 620 ; 80 ; 400 ; 480 ; 430 ; 50 ; 600 ; 650 ; 650 ; -   
19;Genoint S.M;Tube;"Obat Untuk Mengatasi Infeksi Bakteri Di Mata Maupun Kelopak Mata, Seperti Konjungtivitis Bakterial Atau Blefaritis";Sirup; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 12 ; 2 ; 10 ; -   ; 10 ; 4 ; 6 ; -   ; 6 ; 4 ; 2 
20;Genoint S.K ;Tube;Obat Antibiotik Oles Untuk Mengatasi Infeksi Kulit Akibat Bakteri;Sirup; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 24 ; 24 ; 5 ; 19 ; -   ; 19 ; 8 ; 11 ; 11 ; 22 ; 6 ; 16 ; -   ; 16 ; 11 ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; -   ; 5 ; 3 ; 2 
21;Genoint T.M;Botol;Obat Antibiotik Oles Untuk Mengatasi Infeksi Kulit Akibat Bakteri;Tetes Telinga; 18 ; 5 ; 13 ; -   ; 13 ; 5 ; 8 ; -   ; 8 ; 6 ; 2 ; 24 ; 26 ; 18 ; 8 ; 4 ; 12 ; 10 ; 2 ; 12 ; 14 ; 6 ; 8 ; 24 ; 32 ; 18 ; 14 ; -   ; 14 ; 11 ; 3 ; 24 ; 27 ; 7 ; 20 ; -   ; 20 ; 17 ; 3 ; 5 ; 8 ; 5 ; 3 ; 24 ; 27 ; 13 ; 14 ; -   ; 14 ; 11 ; 3 ; 12 ; 15 ; 12 ; 3 
22;Grantusif;Tablet;"Meredakan Batuk, Terutama Batuk Berdahak Yang Disertai Alergi";Inhaler / Suntik / Cairan; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 300 ; 300 ; 195 ; 105 ; -   ; 105 ; 105 ; -   ; -   ; -   ; -   ; -   
23;Hansaplast;Pcs;Produk Plester Luka Dan Perawatan Luka;Tablet; -   ; -   ; -   ; 152 ; 152 ; 94 ; 58 ; 200 ; 258 ; 68 ; 190 ; -   ; 190 ; 87 ; 103 ; 100 ; 203 ; 93 ; 110 ; 200 ; 310 ; 172 ; 138 ; -   ; 138 ; 138 ; -   ; 200 ; 200 ; 100 ; 100 ; 100 ; 200 ; 98 ; 102 ; -   ; 102 ; 102 ; -   ; 200 ; 200 ; 121 ; 79 ; 200 ; 279 ; 71 ; 208 ; -   ; 208 ; 114 ; 94 ; 100 ; 194 ; 35 ; 159 
24;Hydrocortisone;Tube;"Obat Yang Digunakan Untuk Meredakan Peradangan, Mengurangi Reaksi Sistem Kekebalan Tubuh Yang Berlebihan, Dan Mengatasi Kekurangan Hormon Kortisol";Tablet; 24 ; 3 ; 21 ; -   ; 21 ; 2 ; 19 ; -   ; 19 ; 7 ; 12 ; -   ; 12 ; 5 ; 7 ; 12 ; 19 ; 7 ; 12 ; -   ; 12 ; 7 ; 5 ; 24 ; 29 ; 6 ; 23 ; -   ; 23 ; 2 ; 21 ; -   ; 21 ; 6 ; 15 ; -   ; 15 ; 6 ; 9 ; -   ; 9 ; 6 ; 3 ; 24 ; 27 ; 7 ; 20 ; -   ; 20 ; 4 ; 16 ; -   ; 16 ; 2 ; 14 
25;Insto Regular;Botol;"Mengatasi Mata Merah Dan Rasa Perih Di Mata Yang Disebabkan Oleh Iritasi Mata Ringan Karena Debu, Asap, Angin, Atau Air Kolam Renang";Tablet; 24 ; 23 ; 1 ; 24 ; 25 ; 14 ; 11 ; 12 ; 23 ; 23 ; -   ; 19 ; 19 ; 17 ; 2 ; 24 ; 26 ; 16 ; 10 ; 24 ; 34 ; 27 ; 7 ; 12 ; 19 ; 11 ; 8 ; 12 ; 20 ; 16 ; 4 ; 24 ; 28 ; 23 ; 5 ; 12 ; 17 ; 17 ; -   ; 24 ; 24 ; 24 ; -   ; 24 ; 24 ; 24 ; -   ; 24 ; 24 ; 12 ; 12 ; 12 ; 24 ; 23 ; 1 
26;Kassa Steril;Pcs;Menutup Luka. Indikasi / Kegunaan. Untuk Menutup Luka. Aturan Pakai. Digunakan Pada Daerah Yang Luka;Tablet; -   ; -   ; -   ; 40 ; 40 ; -   ; 40 ; -   ; 40 ; 40 ; -   ; 320 ; 320 ; 40 ; 280 ; -   ; 280 ; 56 ; 224 ; -   ; 224 ; 76 ; 148 ; -   ; 148 ; 68 ; 80 ; -   ; 80 ; 80 ; -   ; 160 ; 160 ; 48 ; 112 ; 160 ; 272 ; 112 ; 160 ; -   ; 160 ; -   ; 160 ; -   ; 160 ; -   ; 160 ; -   ; 160 ; 32 ; 128 ; -   ; 128 ; 32 ; 96 
27;Lansoprazol ;Tablet;"Obat Yang Bermanfaat Untuk Mengatasi Keluhan Akibat Peningkatan Asam Lambung, Seperti Sensasi Panas Di Dada, Sakit Perut, Mulut Terasa Asam, Serta Mual Dan Muntah. Lansoprazole Tersedia Dalam Bentuk Kapsul, Kapsul Lepas Tunda, Dan Suntik";Tablet; 260 ; 166 ; 94 ; 60 ; 154 ; 99 ; 55 ; -   ; 55 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
28;Metformin ;Tablet;"Mengendalikan Kadar Gula Darah Pada Penderita Diabetes Tipe 2. Jika Kadar Gula Darah Stabil Pada Batas Normal, Risiko Terjadinya Komplikasi Akibat Diabetes, Seperti Stroke Dan Penyakit Jantung, Bisa Ditekan";Tablet; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 200 ; 200 ; 110 ; 90 ; 300 ; 390 ; 160 ; 230 ; -   ; 230 ; 160 ; 70 ; 100 ; 170 ; 90 ; 80 ; 100 ; 180 ; 100 ; 80 ; 200 ; 280 ; 180 ; 100 ; 100 ; 200 ; 60 ; 140 
29;Methylprednisolone;Tablet;"Meredakan Peradangan Pada Berbagai Kondisi, Termasuk Radang Sendi, Radang Usus, Asma, Psoriasis, Lupus, Hingga Multiple Sclerosis.";Tablet; 200 ; 185 ; 15 ; 300 ; 315 ; 315 ; -   ; 200 ; 200 ; 200 ; -   ; 300 ; 300 ; 300 ; -   ; 200 ; 200 ; 200 ; -   ; 800 ; 800 ; 720 ; 80 ; 300 ; 380 ; 380 ; -   ; 400 ; 400 ; 215 ; 185 ; 300 ; 485 ; 335 ; 150 ; 100 ; 250 ; 250 ; -   ; 300 ; 300 ; 240 ; 60 ; 300 ; 360 ; 360 ; -   ; 300 ; 300 ; 300 ; -   ; 300 ; 300 ; 300 ; -   
30;Miconazole Cream;Tube;"Mengatasi Infeksi Jamur Di Mulut, Sering Terjadi Pada Pasien Dengan Sistem Kekebalan Tubuh Yang Lemah Atau Pada Bayi";Tablet; 24 ; 11 ; 13 ; 24 ; 37 ; 6 ; 31 ; -   ; 31 ; 7 ; 24 ; -   ; 24 ; 10 ; 14 ; 12 ; 26 ; 11 ; 15 ; -   ; 15 ; 11 ; 4 ; 24 ; 28 ; 8 ; 20 ; -   ; 20 ; 2 ; 18 ; -   ; 18 ; 7 ; 11 ; -   ; 11 ; 11 ; -   ; 24 ; 24 ; 4 ; 20 ; -   ; 20 ; 7 ; 13 ; -   ; 13 ; 7 ; 6 ; 24 ; 30 ; 3 ; 27 
31;Microgynon;Tablet;Pil Kb Kombinasi Yang Mengandung 2 Hormon Levonogestrel Dan Ettinilestradiol;Tablet; 50 ; 47 ; 3 ; 80 ; 83 ; 58 ; 25 ; 70 ; 95 ; 90 ; 5 ; 80 ; 85 ; 75 ; 10 ; 80 ; 90 ; 82 ; 8 ; 80 ; 88 ; 68 ; 20 ; 80 ; 100 ; 81 ; 19 ; 80 ; 99 ; 77 ; 22 ; 80 ; 102 ; 73 ; 29 ; 70 ; 99 ; 89 ; 10 ; 70 ; 80 ; 66 ; 14 ; 70 ; 84 ; 75 ; 9 ; 70 ; 79 ; 79 ; -   ; 80 ; 80 ; 80 ; -   
32;Natrium Diklofenak;Tablet;"Mengurangi Nyeri Sendi Ringan Hingga Sedang, Serta Meredakan Gejala Arthritis";Tablet; -   ; -   ; -   ; 200 ; 200 ; 152 ; 48 ; -   ; 48 ; 48 ; -   ; 300 ; 300 ; 280 ; 20 ; 300 ; 320 ; 280 ; 40 ; 500 ; 540 ; 360 ; 180 ; 400 ; 580 ; 490 ; 90 ; 200 ; 290 ; 250 ; 40 ; 500 ; 540 ; 440 ; 100 ; 200 ; 300 ; 300 ; -   ; 300 ; 300 ; 300 ; -   ; 400 ; 400 ; 270 ; 130 ; 200 ; 330 ; 330 ; -   ; 300 ; 300 ; 300 ; -   
33;Neurodex;Tablet;Meringankan Rasa Sakit Berat Yang Disebabkan Oleh Peradangan Pada Saraf (Neuritis) Dan Rasa Sakit Pada Jalur Saraf (Neuralgia);Tablet; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 400 ; 400 ; 400 ; -   ; 200 ; 200 ; 200 ; -   ; -   ; -   ; -   ; -   ; 300 ; 300 ; 290 ; 10 ; 500 ; 510 ; 475 ; 35 ; 200 ; 235 ; 150 ; 85 ; 400 ; 485 ; 355 ; 130 ; 200 ; 330 ; 320 ; 10 ; 200 ; 210 ; 210 ; -   ; 300 ; 300 ; 295 ; 5 ; 300 ; 305 ; 305 ; -   ; 200 ; 200 ; 200 ; -   
34;Octenilin;Tube;Mempercepat Proses Penyembuhan Luka Dan Menurunkan Risiko Terjadinya Infeksi.;Tablet; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 12 ; 2 ; 10 ; 12 ; 22 ; 8 ; 14 ; -   ; 14 ; 8 ; 6 ; -   ; 6 ; 5 ; 1 ; 6 ; 7 ; 7 ; -   ; 12 ; 12 ; 5 ; 7 ; 12 ; 19 ; 6 ; 13 ; -   ; 13 ; 7 ; 6 ; -   ; 6 ; 6 ; -   ; 12 ; 12 ; 10 ; 2 
35;Panadol Biru;Tablet;"Meredakan Nyeri, Seperti Sakit Kepala, Sakit Gigi, Dan Nyeri Otot, Serta Menurunkan Demam";Tablet; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 100 ; 100 ; 100 ; -   ; 100 ; 100 ; 100 ; -   ; 100 ; 100 ; 45 ; 55 ; 100 ; 155 ; 105 ; 50 ; 100 ; 150 ; 95 ; 55 ; -   ; 55 ; 25 ; 30 ; 100 ; 130 ; 61 ; 69 ; 100 ; 169 ; 80 ; 89 ; 100 ; 189 ; 109 ; 80 ; -   ; 80 ; 75 ; 5 ; 100 ; 105 ; -   ; 105 ; 100 ; 205 ; 205 ; -   
36;Panadol Extra;Tablet;Menurunkan Demam Dan Meredakan Sakit Kepala Dan Sakit Gigi;Tablet; -   ; -   ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 200 ; -   ; 200 ; 200 ; 110 ; 90 ; 200 ; 290 ; 290 ; -   ; 200 ; 200 ; 155 ; 45 ; 200 ; 245 ; 200 ; 45 ; 200 ; 245 ; 215 ; 30 ; 200 ; 230 ; 230 ; -   ; 200 ; 200 ; 190 ; 10 ; 200 ; 210 ; 185 ; 25 ; 200 ; 225 ; 210 ; 15 
37;Paracetamol;Tablet;"Obat Yang Digunakan Untuk Meredakan Rasa Sakit Ringan Hingga Sedang (Seperti Sakit Kepala, Nyeri Otot, Atau Sakit Gigi) Dan Untuk Menurunkan Demam";Tablet; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 300 ; 300 ; 300 ; -   
38;Paracetamol Syrup;Botol;"Obat Yang Digunakan Untuk Meredakan Rasa Sakit Ringan Hingga Sedang (Seperti Sakit Kepala, Nyeri Otot, Atau Sakit Gigi) Dan Untuk Menurunkan Demam";Tablet; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 12 ; 12 ; 10 ; 2 
