Nama Diagnosa       ; Deskripsi
Post Jatuh          ; Pemeriksaan Pasca Jatuh Meliputi Konsultasi Dengan Dokter Untuk Riwayat Dan Pemeriksaan Fisik, Diikuti Pemeriksaan Penunjang Seperti Rontgen, Ct Scan, Atau Mri Jika Dicurigai Ada Cedera Serius
Post KLLD           ; Situasi Setelah Kecelakaan Lalu Lintas (Kll), Yang Seringkali Membutuhkan Penanganan Medis Pasca-Kecelakaan Untuk Kondisi Seperti Cedera Kepala Atau Fraktur Tulang, Dan Memerlukan Evaluasi Kondisi Korban
Post Op             ; Periode Setelah Pasien Selesai Menjalani Tindakan Pembedahan, Dimulai Dari Saat Pasien Dipindahkan Ke Ruang Pemulihan Sampai Evaluasi Selanjutnya Di Rumah Sakit Atau Saat Pulang Ke Rumah
PPJP                ; Penyakit Pulpa Jaringan Perkapital : Radang Gusi (Gingivitis) Akibat Penumpukan Plak Dan Karang Gigi, Menyikat Gigi Terlalu Keras, Infeksi, Atau Kekurangan Nutrisi Seperti Vitamin C
Radang              ; Radang (Inflamasi) Adalah Respons Sistem Imun Terhadap Cedera Atau Infeksi Yang Ditandai Dengan Pembengkakan, Kemerahan, Panas, Dan Nyeri Pada Jaringan Yang Terkena
Selulitis Pedis     ; Infeksi Bakteri Pada Kulit Dan Jaringan Di Bawahnya, Yang Paling Sering Menyerang Kaki, Termasuk Telapak Kaki Dan Jari-Jari Kaki
Sesak Nafas         ; Sesak Napas (Dispnea) Adalah Kondisi Sulit Bernapas Yang Bisa Disebabkan Oleh Penyakit Jantung, Paru-Paru, Asma, Alergi, Gangguan Kecemasan, Atau Ppok, Dan Memerlukan Pertolongan Medis Jika Parah
Stomatitis          ; Peradangan Pada Selaput Lendir Di Dalam Mulut Yang Dapat Disebabkan Oleh Infeksi Virus, Bakteri, Jamur, Alergi, Kekurangan Nutrisi, Atau Cedera
Tonsilitis          ; Peradangan Atau Pembengkakan Pada Amandel (Tonsil) Yang Umumnya Disebabkan Oleh Infeksi Virus Atau Bakteri
Urtikaria           ; Urtikaria, Atau Biduran, Adalah Reaksi Kulit Yang Ditandai Dengan Bentol-Bentol Merah Atau Putih Yang Terasa Gatal
Vertigo             ; Gejala Berupa Sensasi Pusing Parah Seolah-Olah Diri Sendiri Atau Lingkungan Sekitar Berputar, Sering Disertai Mual, Muntah, Dan Gangguan Keseimbangan
Vomitus             ; Gejala Dari Suatu Kondisi Medis Yang Mendasarinya, Seperti Infeksi Saluran Pencernaan (Gastroenteritis), Keracunan Makanan, Gangguan Kehamilan, Gangguan Neurologis (Seperti Meningitis Atau Tumor Otak), Atau Peradangan Organ (Seperti Radang Usus Buntu)
Vulnus              ; Istilah Medis Untuk Luka, Yaitu Kerusakan Atau Terputusnya Kontinuitas Jaringan Tubuh, Seperti Kulit, Akibat Cedera Yang Dapat Disebabkan Oleh Trauma Tajam (Misalnya Luka Sayat), Trauma Tumpul (Luka Memar), Atau Faktor Lainnya
Vulnus Laceratum    ; Luka Robek Atau Laserasi Yang Ditandai Dengan Robekan Jaringan Tubuh Yang Tidak Beraturan Akibat Benturan Benda Tumpul Atau Benda Tajam
